startTime,endTime,aveH,aveV
3524607,3524731,849.700012207031,404.299987792969
3524753,3524923,782.700012207031,382.799987792969
3524937,3525113,841.400024414063,386.5
3525459,3525493,494.299987792969,967.5
3525617,3525645,583.200012207031,456.799987792969
3525653,3525715,636.400024414063,314.399993896484
3525729,3525919,813.5,285.299987792969
3525939,3526363,920.700012207031,350.799987792969
3526383,3526585,882.5,344.100006103516
3526853,3527163,893,292.200012207031
3527175,3527463,886.799987792969,277.100006103516
3527473,3528315,915.099975585938,305.299987792969
3528339,3528523,813.200012207031,381.899993896484
3528543,3528829,892.400024414063,379.100006103516
3529237,3529693,834.299987792969,437.700012207031
3529711,3530777,896.200012207031,375.100006103516
3530799,3530973,840.5,352.100006103516
3530991,3531137,909.400024414063,384.299987792969
3531459,3531517,760.200012207031,349.100006103516
3531527,3532579,887.5,351.799987792969
3532597,3532821,830.099975585938,353.5
3532837,3533025,894.400024414063,368.100006103516
3533043,3533093,846.400024414063,345.700012207031
3533371,3534331,896.299987792969,310.200012207031
3534347,3534493,853.700012207031,365.799987792969
3534511,3534617,912,349.899993896484
3534635,3534733,859.299987792969,353.100006103516
3534999,3535737,880.700012207031,298.700012207031
3536097,3537489,927.5,250.100006103516
3537513,3537751,867.700012207031,310.399993896484
3537769,3538113,907.900024414063,316.700012207031
3538139,3538195,867.900024414063,312.600006103516
3538209,3539843,861.299987792969,312.200012207031
3540081,3540255,821.5,338.899993896484
3540263,3540339,857.200012207031,334.299987792969
3540363,3540771,884.299987792969,311.299987792969
3541027,3541479,836.599975585938,242
3541501,3541679,886.299987792969,306.399993896484
3541701,3541773,827.200012207031,313.899993896484
3541815,3541837,788.799987792969,731.099975585938
3541867,3542111,870.299987792969,322.600006103516
3542421,3542661,800.099975585938,386.399993896484
3542673,3542907,881.299987792969,373
3542925,3543145,851.200012207031,337.100006103516
3543153,3543259,900.799987792969,339.600006103516
3543279,3543355,824.900024414063,323.200012207031
3543797,3544031,887,281
3544331,3544495,732.200012207031,382.700012207031
3544543,3544785,864.599975585938,601.700012207031
3544819,3545177,895.799987792969,440.5
3545229,3545395,974.900024414063,773.599975585938
3545441,3545785,879.799987792969,588.799987792969
3545811,3545951,849.700012207031,436.899993896484
3545965,3546231,853.099975585938,390.700012207031
3546239,3546379,807.900024414063,380.100006103516
3546391,3546475,835.200012207031,387.899993896484
3546485,3546611,928.799987792969,371.100006103516
3546627,3546711,904,327.399993896484
3546999,3547679,907.900024414063,316.5
3547691,3548185,903.299987792969,553.900024414063
3548209,3548277,851.099975585938,458.899993896484
3548515,3548861,903.599975585938,347
3548879,3549127,886.5,296.100006103516
3549143,3549647,908.099975585938,259.700012207031
3549721,3549869,890.599975585938,1034.30004882813
3549947,3550037,866.200012207031,601.900024414063
3550333,3550441,823.299987792969,342.600006103516
3550449,3550633,898.599975585938,337.399993896484
3550645,3550757,856.200012207031,355.600006103516
3551023,3551407,901.299987792969,323.799987792969
3551425,3551689,918.599975585938,251.100006103516
3551709,3551965,868.299987792969,273
3551985,3552149,936.700012207031,290.5
3552465,3552675,761.900024414063,311
3552695,3553027,895.5,314.600006103516
3553091,3553255,702.700012207031,804
3553291,3553465,598.799987792969,752.200012207031
3553523,3553751,943.700012207031,343.200012207031
3553767,3554791,922.099975585938,323.100006103516
3554799,3554923,813.799987792969,391.200012207031
3554945,3555511,947.599975585938,314.100006103516
3555523,3555639,925,303.399993896484
3555917,3556277,925.299987792969,242.300003051758
3556291,3556831,929.299987792969,313.299987792969
3556843,3557987,941.299987792969,331.700012207031
3558001,3558027,982.5,357.5
3558269,3559559,956.099975585938,253.600006103516
3559569,3560155,934.599975585938,218.699996948242
3560489,3560951,926.700012207031,359.299987792969
3560967,3561237,957.700012207031,323.899993896484
3561625,3562047,785.700012207031,377.299987792969
3562065,3562117,908,339.700012207031
3562637,3562845,933.5,264.5
3563323,3563647,296.100006103516,148.300003051758
3564161,3564443,-314.799987792969,-178.199996948242
3564451,3565153,120.400001525879,130.600006103516
3565201,3565343,915.900024414063,214.899993896484
3565363,3565543,1072,305.200012207031
3565555,3565915,975.799987792969,274.200012207031
3565935,3566329,929,224.399993896484
3566475,3566625,865.599975585938,343
3566647,3566811,953.900024414063,301.100006103516
3566823,3567229,973.900024414063,242
3567241,3567743,952.200012207031,270.799987792969
3567757,3567793,884.900024414063,318.600006103516
3568065,3568355,905.799987792969,327.600006103516
3568369,3568829,904.700012207031,289.899993896484
3569101,3569163,829.200012207031,247.600006103516
3569183,3570197,952.599975585938,261.100006103516
