startTime,endTime,aveH,aveV
14453703,14453873,983.799987792969,533.099975585938
14453945,14454937,699.799987792969,523.700012207031
14454977,14455209,1061.69995117188,533.099975585938
14455225,14455633,1017.90002441406,527.900024414063
14455651,14456779,969.5,529.700012207031
14456791,14456969,927.700012207031,519
14456993,14457869,750.799987792969,502.899993896484
14457895,14459111,860.299987792969,512.599975585938
14459135,14459665,973.299987792969,511.799987792969
14459711,14460875,737.200012207031,555
14460883,14461029,731.400024414063,563.5
14461053,14461541,948.700012207031,533.700012207031
14461569,14461741,730,514
14461869,14461923,785,447.5
14461947,14462153,919.700012207031,482.899993896484
14462289,14462437,902.799987792969,492.899993896484
14462457,14462719,841.299987792969,504.200012207031
14462731,14462947,813.5,500.899993896484
14463121,14463319,672.5,486.399993896484
14463333,14466125,715.900024414063,526.099975585938
14466179,14466417,181.600006103516,1086
14466439,14466789,88.3000030517578,1017.5
14466835,14467015,642.099975585938,1186.59997558594
14467067,14467331,825,493.700012207031
14467475,14467707,719.299987792969,482.200012207031
14467737,14468423,1001.29998779297,508.600006103516
14468467,14468595,1260.30004882813,295.899993896484
14468625,14470155,1011,254.5
14470165,14470385,996.5,252.699996948242
14470393,14471417,1004.59997558594,248.5
14471527,14472417,959.099975585938,212.899993896484
14472517,14472937,945.799987792969,202.5
14472951,14473071,967.700012207031,219.199996948242
14473079,14474439,931.400024414063,242.399993896484
14474465,14474881,941.900024414063,191.100006103516
14474891,14476347,946.900024414063,202.100006103516
14476365,14477771,954.599975585938,233.100006103516
14477779,14478305,978.599975585938,235.100006103516
14478313,14479819,981.299987792969,242.100006103516
14479831,14481155,980.400024414063,216.199996948242
14481273,14482049,969.799987792969,236.899993896484
14482065,14482303,1010.59997558594,227.100006103516
14482315,14482625,972.900024414063,223.699996948242
14482731,14482985,976.5,165.300003051758
14483009,14483255,967.5,249
14483281,14484015,974.099975585938,190.300003051758
14484037,14484525,960,279.600006103516
14484547,14484935,1008.29998779297,185.399993896484
14485069,14485261,933.5,226.5
14485271,14485715,956.200012207031,266
14485751,14487385,981.200012207031,146.5
14487489,14488117,978.799987792969,237.199996948242
14488127,14489007,966.099975585938,246.800003051758
14489021,14491815,937.700012207031,261.600006103516
14491823,14491999,920.599975585938,212.899993896484
14492115,14492457,946.5,237.5
14492481,14492753,933.200012207031,204.800003051758
14492767,14492931,933.799987792969,186.399993896484
14492963,14493091,916.799987792969,498.700012207031
14493125,14493373,934.5,217.199996948242
14493391,14493827,953.900024414063,198.100006103516
14493877,14494075,942.200012207031,448.5
14494119,14494829,980,216
14494881,14495529,977.099975585938,463.600006103516
14495575,14496989,989.099975585938,209.399993896484
14497017,14497221,978.799987792969,413.600006103516
14497249,14497751,999.099975585938,232.899993896484
14497773,14499203,993.099975585938,219.600006103516
14499329,14500093,988.799987792969,272.5
14500101,14500135,988.400024414063,236.5
14500257,14500371,966.400024414063,308.100006103516
14500391,14502115,999.599975585938,277.299987792969
14502243,14504431,990.900024414063,274.100006103516
14504521,14504581,1003.29998779297,295
14504725,14506899,1003.29998779297,289.700012207031
14506991,14507615,1005.29998779297,308.100006103516
14507623,14508777,988.700012207031,278.799987792969
14508791,14509055,966.299987792969,212.800003051758
14509067,14509237,958,244.600006103516
14509353,14509967,943.599975585938,227.100006103516
14509983,14510453,936,203.399993896484
14510469,14510587,916,281
14510617,14510845,894.5,522.400024414063
14510865,14511283,868.900024414063,606.400024414063
14511295,14511999,877.599975585938,662.200012207031
14512009,14512337,914.5,667.200012207031
14512347,14512933,898.5,659.599975585938
14512943,14514607,896.599975585938,646.599975585938
14514617,14515833,915.799987792969,627.599975585938
14515843,14516895,924.299987792969,612.400024414063
14516919,14517053,967.900024414063,377.899993896484
14517063,14517433,961.700012207031,347.299987792969
14517441,14518741,946.799987792969,335
14518969,14521301,915.700012207031,269.799987792969
14521457,14521615,849.299987792969,208.199996948242
14521625,14523909,889.799987792969,226.699996948242
14524039,14526335,919.200012207031,259.600006103516
14526453,14526613,1012,295
14526623,14526859,999.5,301.700012207031
14526869,14527805,979.200012207031,291.799987792969
14527815,14528427,978.099975585938,292.899993896484
14528467,14528645,938,670.900024414063
14528655,14529985,934.799987792969,655
14529995,14532317,933.200012207031,624.299987792969
14532331,14533009,904.5,588.700012207031
14533021,14533755,939.400024414063,623.799987792969
14533765,14534593,938.099975585938,642.299987792969
14534617,14534741,970.200012207031,419.100006103516
14534765,14534827,967.299987792969,338.799987792969
14534861,14535067,979.799987792969,278.5
14535227,14535405,929.799987792969,310.399993896484
14535423,14537157,959.200012207031,308.200012207031
14537169,14537189,962.700012207031,351.799987792969
14537315,14537577,943.700012207031,592.799987792969
14537607,14538065,964.5,302.799987792969
14538179,14541067,958.299987792969,317.299987792969
14541077,14542137,963,332.200012207031
14542149,14544513,928.900024414063,316
14544523,14544751,883,292.200012207031
14544763,14544933,912.900024414063,302.399993896484
14545087,14545751,903.400024414063,297.899993896484
14545777,14546397,904.200012207031,423.399993896484
14546425,14546639,919.599975585938,261.5
14546653,14551049,971.599975585938,240.899993896484
14551059,14553045,981.299987792969,234.600006103516
14553161,14553967,985.099975585938,299
14553985,14554817,948.5,286
14554827,14555913,979.099975585938,306.700012207031
14555927,14556303,962.799987792969,256.700012207031
14556313,14559477,948.099975585938,275.700012207031
14559487,14560575,910.900024414063,243.600006103516
14560583,14562147,893.400024414063,227
14562155,14563821,904,248.199996948242
14563829,14564171,934.200012207031,265.200012207031
14564195,14564607,959.099975585938,238.399993896484
14564659,14564843,937,640.5
14564859,14565299,932.099975585938,590.299987792969
14565333,14565463,947.5,250.199996948242
14565483,14566093,981.400024414063,237.100006103516
14566147,14566319,930.900024414063,623.400024414063
14566337,14566809,934.900024414063,598.200012207031
14566859,14566959,963.5,314.799987792969
14566981,14567129,980.700012207031,277.299987792969
14567147,14567467,976.200012207031,272.600006103516
14567479,14568233,983,251
14568243,14569281,973.5,252.300003051758
14569311,14570959,976.299987792969,248.399993896484
14571067,14571193,993.599975585938,273
14571217,14574859,968.5,332.5
14575033,14575225,912.799987792969,327.600006103516
14575245,14576701,958.799987792969,308.200012207031
14576837,14577055,941.900024414063,318.799987792969
14577075,14578341,957.599975585938,335.899993896484
14578355,14578463,902.799987792969,344.100006103516
14578485,14579563,960.799987792969,339.799987792969
14579575,14579737,927.099975585938,320.399993896484
14579757,14581621,955.5,315.200012207031
14581629,14582511,971.099975585938,299.600006103516
14582537,14582745,952.799987792969,505.200012207031
14582763,14583229,949.5,562.700012207031
